"region" "soil" "stemwood" "bark" "liveBranch" "foliage" "deadBranch" "stump" "roots" "total"
1 1 0.423 0.071 0.088 0.028 0.006 0.047 0.154 0.817
1 2 0.424 0.074 0.08 0.027 0.008 0.046 0.159 0.819
1 3 0.425 0.071 0.083 0.028 0.006 0.047 0.161 0.821
2 1 0.417 0.079 0.12 0.043 0.013 0.062 0.176 0.911
2 2 0.417 0.079 0.12 0.043 0.011 0.059 0.168 0.897
2 3 0.419 0.074 0.096 0.039 0.013 0.052 0.172 0.866
