"","alar","ojitus","plaji","BEF.s","BEF.sb","BEF.b","BEF.f","BEF.f.mark","BEF.st","BEF.r","BEF.fr"
"BEF11",1,0,1,0.324640307771908,0.0340199389732997,0.0908101999384597,0.032246557063177,0.0375256318153264,0.03514967963504,0.105280994312678,0.0253673271071607
"BEF12",2,0.999644199503617,1,0.324931750522848,0.0517107852333028,0.102413670662678,0.0488394764438797,0.0693109949733353,0.0385866532287338,0.099561018603663,0.0468542326019747
"BEF21",1,0,2,0.332690275506791,0.051531216824703,0.134789831881506,0.0963057236313748,0.109059030908055,0.0424678373393437,0.11100489748478,0.027919111912462
"BEF22",2,0.999894248367506,2,0.346685927310168,0.0570542976619175,0.148283970213671,0.117828746551410,0.143651934524958,0.0454054848759767,0.105245573086034,0.0367748952383892
"BEF31",1,0,3,0.408229495150274,0.0766625832112422,0.152973224934265,0.0222399505456838,0,0.0566727495040745,0.151289049548897,0.0111199752728419
"BEF32",2,0.999817473049922,3,0.410392741046387,0.079413958624737,0.129313333669243,0.0199005539789294,0,0.0620112758343537,0.190620013626035,0.0099502769894647
