"region" "soil" "stemwood" "bark" "liveBranch" "foliage" "deadBranch" "stump" "roots" "total"
1 1 0.361 0.028 0.068 0.027 0.015 0.031 0.094 0.623
1 2 0.362 0.038 0.07 0.028 0.017 0.035 0.099 0.65
1 3 0.362 0.034 0.07 0.029 0.016 0.033 0.095 0.639
2 1 0.351 0.034 0.089 0.035 0.014 0.036 0.106 0.666
2 2 0.347 0.05 0.09 0.037 0.019 0.04 0.109 0.692
2 3 0.347 0.045 0.089 0.041 0.019 0.037 0.1 0.677
